id,mode,module,head,query,key,pair,type,A,B,C,D,strength,condition,action,meaning,pseudocode,matrix_route,gate_grad,gate_abs_grad,gate_positive_grad,gate_negative_grad,gate_channels
R001_B_to_Tbl,B_to_Tbl,mod.blocks.7.attn,4,muon,muon,muon<-muon,LEPTON_LEPTON_ROUTE,0.0,0.999828577041626,0.0,0.0,0.999828577041626,B_Hqql_to_Tbl,route Hqql event toward Tbl-like evidence,route is stronger in Hqql→Tbl mistakes than in correct Hqql,IF group == B_Hqql_to_Tbl AND HEAD[mod.blocks.7.attn][4] reads muon <- muon: route Hqql event toward Tbl-like evidence,"ROUTE[mod.blocks.7.attn, head=4, muon<-muon] := attention_weight * role_gate(muon,muon) * class_regime(B_Hqql_to_Tbl)",0.05027113783580717,0.05027113783580717,0.05027113783580717,0.0,64:80
R003_B_to_Tbl,B_to_Tbl,mod.blocks.7.attn,4,muon,electron,muon<-electron,LEPTON_LEPTON_ROUTE,0.0,0.9968894422054291,0.0,0.0,0.9968894422054291,B_Hqql_to_Tbl,route Hqql event toward Tbl-like evidence,route is stronger in Hqql→Tbl mistakes than in correct Hqql,IF group == B_Hqql_to_Tbl AND HEAD[mod.blocks.7.attn][4] reads muon <- electron: route Hqql event toward Tbl-like evidence,"ROUTE[mod.blocks.7.attn, head=4, muon<-electron] := attention_weight * role_gate(muon,electron) * class_regime(B_Hqql_to_Tbl)",0.05027113783580717,0.05027113783580717,0.05027113783580717,0.0,64:80
R001_anomaly,anomaly,mod.blocks.7.attn,4,muon,muon,muon<-muon,LEPTON_LEPTON_ROUTE,0.0,0.999828577041626,0.0,0.0,0.9996571834690826,B_Hqql_to_Tbl_anomaly,mark nonstandard transition route,route separates mistake regime from both correct regimes,IF group == B_Hqql_to_Tbl_anomaly AND HEAD[mod.blocks.7.attn][4] reads muon <- muon: mark nonstandard transition route,"ROUTE[mod.blocks.7.attn, head=4, muon<-muon] := attention_weight * role_gate(muon,muon) * class_regime(B_Hqql_to_Tbl_anomaly)",0.05027113783580717,0.05027113783580717,0.05027113783580717,0.0,64:80
R002_anomaly,anomaly,mod.blocks.7.attn,4,muon,electron,muon<-electron,LEPTON_LEPTON_ROUTE,0.0,0.9968894422054291,0.0,0.0,0.9937885599806515,B_Hqql_to_Tbl_anomaly,mark nonstandard transition route,route separates mistake regime from both correct regimes,IF group == B_Hqql_to_Tbl_anomaly AND HEAD[mod.blocks.7.attn][4] reads muon <- electron: mark nonstandard transition route,"ROUTE[mod.blocks.7.attn, head=4, muon<-electron] := attention_weight * role_gate(muon,electron) * class_regime(B_Hqql_to_Tbl_anomaly)",0.05027113783580717,0.05027113783580717,0.05027113783580717,0.0,64:80
R016_B_to_Tbl,B_to_Tbl,mod.blocks.5.attn,6,muon,neutral_hadron,muon<-neutral_hadron,LEPTON_READS_HADRON_ROUTE,0.0,0.9283728897571564,0.8428160548210144,0.895864725112915,0.9283728897571564,B_Hqql_to_Tbl,route Hqql event toward Tbl-like evidence,route is stronger in Hqql→Tbl mistakes than in correct Hqql,IF group == B_Hqql_to_Tbl AND HEAD[mod.blocks.5.attn][6] reads muon <- neutral_hadron: route Hqql event toward Tbl-like evidence,"ROUTE[mod.blocks.5.attn, head=6, muon<-neutral_hadron] := attention_weight * role_gate(muon,neutral_hadron) * class_regime(B_Hqql_to_Tbl)",0.047433355925022624,0.047433355925022624,0.047433355925022624,0.0,96:112
R007_B_to_Tbl,B_to_Tbl,mod.blocks.6.attn,4,electron,electron,electron<-electron,LEPTON_LEPTON_ROUTE,0.0,0.988945871591568,0.9377065002918243,0.9162426888942719,0.988945871591568,B_Hqql_to_Tbl,route Hqql event toward Tbl-like evidence,route is stronger in Hqql→Tbl mistakes than in correct Hqql,IF group == B_Hqql_to_Tbl AND HEAD[mod.blocks.6.attn][4] reads electron <- electron: route Hqql event toward Tbl-like evidence,"ROUTE[mod.blocks.6.attn, head=4, electron<-electron] := attention_weight * role_gate(electron,electron) * class_regime(B_Hqql_to_Tbl)",0.037521462407312356,0.037521462407312356,0.037521462407312356,0.0,64:80
R011_B_to_Tbl,B_to_Tbl,mod.blocks.6.attn,4,muon,muon,muon<-muon,LEPTON_LEPTON_ROUTE,0.0,0.979663759469986,0.9897374883294106,0.0,0.979663759469986,B_Hqql_to_Tbl,route Hqql event toward Tbl-like evidence,route is stronger in Hqql→Tbl mistakes than in correct Hqql,IF group == B_Hqql_to_Tbl AND HEAD[mod.blocks.6.attn][4] reads muon <- muon: route Hqql event toward Tbl-like evidence,"ROUTE[mod.blocks.6.attn, head=4, muon<-muon] := attention_weight * role_gate(muon,muon) * class_regime(B_Hqql_to_Tbl)",0.037521462407312356,0.037521462407312356,0.037521462407312356,0.0,64:80
R007_A_protect,A_protect,mod.blocks.6.attn,4,neutral_hadron,charged_hadron,neutral_hadron<-charged_hadron,HADRON_HADRON_TOPOLOGY_ROUTE,0.9747462570667267,0.0,0.5734803676605225,0.0,0.9747462570667267,A_Hqql_correct,preserve Hqql evidence and resist Tbl-like confusion,route is stronger in correct Hqql than in Hqql→Tbl mistakes,IF group == A_Hqql_correct AND HEAD[mod.blocks.6.attn][4] reads neutral_hadron <- charged_hadron: preserve Hqql evidence and resist Tbl-like confusion,"ROUTE[mod.blocks.6.attn, head=4, neutral_hadron<-charged_hadron] := attention_weight * role_gate(neutral_hadron,charged_hadron) * class_regime(A_Hqql_correct)",0.037521462407312356,0.037521462407312356,0.037521462407312356,0.0,64:80
R008_A_protect,A_protect,mod.blocks.6.attn,4,photon,neutral_hadron,photon<-neutral_hadron,PHOTON_HADRON_ROUTE,0.9574556350708008,0.0,0.0,0.0,0.9574556350708008,A_Hqql_correct,preserve Hqql evidence and resist Tbl-like confusion,route is stronger in correct Hqql than in Hqql→Tbl mistakes,IF group == A_Hqql_correct AND HEAD[mod.blocks.6.attn][4] reads photon <- neutral_hadron: preserve Hqql evidence and resist Tbl-like confusion,"ROUTE[mod.blocks.6.attn, head=4, photon<-neutral_hadron] := attention_weight * role_gate(photon,neutral_hadron) * class_regime(A_Hqql_correct)",0.037521462407312356,0.037521462407312356,0.037521462407312356,0.0,64:80
R010_A_protect,A_protect,mod.blocks.6.attn,4,photon,charged_hadron,photon<-charged_hadron,PHOTON_HADRON_ROUTE,0.9423612554868063,0.0,0.6616629362106323,0.8500982224941254,0.9423612554868063,A_Hqql_correct,preserve Hqql evidence and resist Tbl-like confusion,route is stronger in correct Hqql than in Hqql→Tbl mistakes,IF group == A_Hqql_correct AND HEAD[mod.blocks.6.attn][4] reads photon <- charged_hadron: preserve Hqql evidence and resist Tbl-like confusion,"ROUTE[mod.blocks.6.attn, head=4, photon<-charged_hadron] := attention_weight * role_gate(photon,charged_hadron) * class_regime(A_Hqql_correct)",0.037521462407312356,0.037521462407312356,0.037521462407312356,0.0,64:80
